countCombo3: Line=2, Cnt=162, 13.914µs
countCombo3: Line=1, Cnt=512, 31.302µs
countCombo3: Line=4, Cnt=1, 11.201µs
countCombo3: Line=3, Cnt=1, 8.629µs
countCombo3: Line=8, Cnt=2500, 51.262µs
countCombo3: Line=5, Cnt=1, 10.908µs
countCombo3: Line=11, Cnt=243, 45.824µs
countCombo3: Line=16, Cnt=3125, 126.62µs
countCombo3: Line=14, Cnt=1250, 339.373µs
countCombo3: Line=20, Cnt=162, 48.614µs
countCombo3: Line=19, Cnt=1875, 295.535µs
countCombo3: Line=22, Cnt=3888, 377.491µs
countCombo3: Line=24, Cnt=81, 30.857µs
countCombo3: Line=23, Cnt=32, 83.584µs
countCombo3: Line=26, Cnt=1024, 591.352µs
countCombo3: Line=29, Cnt=512, 122.821µs
countCombo3: Line=32, Cnt=32, 9.594µs
countCombo3: Line=17, Cnt=59049, 1.396511ms
countCombo3: Line=34, Cnt=396, 30.955µs
countCombo3: Line=31, Cnt=1875, 183.319µs
countCombo3: Line=33, Cnt=32, 12.286µs
countCombo3: Line=18, Cnt=12996, 1.50889ms
countCombo3: Line=36, Cnt=243, 12.71µs
countCombo3: Line=37, Cnt=625, 115.483µs
countCombo3: Line=27, Cnt=7004, 1.121609ms
countCombo3: Line=9, Cnt=39366, 2.38017ms
countCombo3: Line=42, Cnt=243, 26.57µs
countCombo3: Line=39, Cnt=5741, 157.064µs
countCombo3: Line=44, Cnt=32, 8.184µs
countCombo3: Line=13, Cnt=58206, 2.378151ms
countCombo3: Line=43, Cnt=5184, 245.608µs
countCombo3: Line=40, Cnt=18334, 777.829µs
countCombo3: Line=47, Cnt=16, 13.752µs
countCombo3: Line=48, Cnt=3564, 154.426µs
countCombo3: Line=49, Cnt=243, 27.08µs
countCombo3: Line=41, Cnt=15620, 645.979µs
countCombo3: Line=38, Cnt=7203, 1.138845ms
countCombo3: Line=51, Cnt=636, 68.812µs
countCombo3: Line=50, Cnt=768, 261.585µs
countCombo3: Line=53, Cnt=32, 63.754µs
countCombo3: Line=55, Cnt=162, 15.315µs
countCombo3: Line=56, Cnt=11052, 405.266µs
countCombo3: Line=57, Cnt=1, 8.563µs
countCombo3: Line=60, Cnt=162, 20.806µs
countCombo3: Line=59, Cnt=32, 5.123µs
countCombo3: Line=58, Cnt=19683, 558.541µs
countCombo3: Line=28, Cnt=32805, 3.052729ms
countCombo3: Line=62, Cnt=2563, 932.125µs
countCombo3: Line=64, Cnt=7203, 437.501µs
countCombo3: Line=66, Cnt=1250, 113.388µs
countCombo3: Line=65, Cnt=7090, 394.206µs
countCombo3: Line=54, Cnt=32184, 3.003767ms
countCombo3: Line=67, Cnt=2500, 186.13µs
countCombo3: Line=46, Cnt=16384, 5.313475ms
countCombo3: Line=70, Cnt=221688, 6.163731ms
countCombo3: Line=72, Cnt=16, 22.597µs
countCombo3: Line=12, Cnt=42083, 13.948785ms
countCombo3: Line=74, Cnt=26839, 950.392µs
countCombo3: Line=73, Cnt=243, 624.998µs
countCombo3: Line=21, Cnt=586773, 20.47358ms
countCombo3: Line=10, Cnt=832404, 23.530624ms
countCombo3: Line=78, Cnt=6973, 267.869µs
countCombo3: Line=77, Cnt=243, 20.731µs
countCombo3: Line=80, Cnt=9362, 672.256µs
countCombo3: Line=6, Cnt=1135341, 49.482847ms
countCombo3: Line=82, Cnt=1024, 82.141µs
countCombo3: Line=81, Cnt=243, 26.472µs
countCombo3: Line=84, Cnt=1, 4.884µs
countCombo3: Line=83, Cnt=1024, 63.809µs
countCombo3: Line=86, Cnt=1296, 314.627µs
countCombo3: Line=85, Cnt=16384, 1.454036ms
countCombo3: Line=88, Cnt=142344, 5.180875ms
countCombo3: Line=87, Cnt=14406, 481.426µs
